,name,country,region,rating,rating_count,price,value_for_money,price_category
1070,Gaja Pieve Santa Restituta Sugarille Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.5,4408,288,0.02,Premium
1072,Astoria Alisia Pinot Grigio 2024,Italy,delle Venezie,3.8,4403,15,0.25,Budget
1075,Cupcake Prosecco,Italy,Prosecco,3.5,4394,11,0.32,Budget
1090,Ciacci Piccolomini d'Aragona Toscana Rosso 2024,Italy,Toscana,3.8,4372,20,0.19,Budget
1092,Elena Fucci Titolo 2022,Italy,Aglianico del Vulture,3.9,4370,42,0.09,Budget
1104,COS Pithos Rosso 2023,Italy,Terre Siciliane,3.8,4344,37,0.1,Budget
1106,Grifalco Aglianico del Vulture 2022,Italy,Aglianico del Vulture,3.8,4340,31,0.12,Budget
1107,Grifalco Aglianico del Vulture 2023,Italy,Aglianico del Vulture,3.8,4340,26,0.15,Budget
1113,Valle dell'Acate Il Frappato Vittoria 2024,Italy,Vittoria,3.6,4329,30,0.12,Budget
1114,Valle dell'Acate Il Frappato Vittoria 2023,Italy,Vittoria,3.6,4329,28,0.13,Budget
1117,Villa Pozzi Nero d'Avola 2022,Italy,Sicilia,3.6,4323,16,0.23,Budget
1128,Antinori Pèppoli Chianti Classico 2022,Italy,Chianti Classico,4.0,4292,25,0.16,Budget
1136,Antinori Villa Antinori Toscana Bianco 2022,Italy,Toscana,3.9,4268,30,0.13,Budget
1157,Terlato Pinot Grigio 2024,Italy,Colli Orientali del Friuli,3.9,4207,22,0.18,Budget
1159,Tenuta CastelGiocondo Brunello di Montalcino 2018,Italy,Brunello di Montalcino,4.2,4202,80,0.05,Mid Range
1160,La Maialina Gertrude Toscana 2023,Italy,Toscana,3.8,4199,22,0.17,Budget
1162,Montecore Primitivo Puglia 2023,Italy,Puglia,4.0,4189,18,0.22,Budget
1170,La Biancara di Angiolino Maule I Masieri 2024,Italy,Veneto,3.7,4161,24,0.15,Budget
1178,Buglioni L'Amarone della Valpolicella Classico 2017,Italy,Amarone della Valpolicella Classico,4.3,4134,72,0.06,Mid Range
1179,Buglioni L'Amarone della Valpolicella Classico 2019,Italy,Amarone della Valpolicella Classico,4.3,4134,62,0.07,Budget
1180,La Colombina Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.2,4129,54,0.08,Budget
1187,Bolla Valpolicella 2024,Italy,Valpolicella,3.4,4116,29,0.12,Budget
1194,Bruno Giacosa Falletto Barbaresco Asili 2022,Italy,Barbaresco,4.4,4104,250,0.02,Premium
1196,Gaja Pieve Santa Restituta Rennina Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.5,4094,233,0.02,Premium
1211,Tenuta di Nozzole Toscana Il Pareto 2021,Italy,Toscana,4.3,4072,83,0.05,Mid Range
1232,Castello del Poggio Moscato 2023,Italy,Provincia di Pavia,4.2,4032,24,0.17,Budget
1235,Natale Verga Montepulciano d'Abruzzo 2024,Italy,Montepulciano d'Abruzzo,3.4,4026,10,0.34,Budget
1236,Mionetto Prosecco Rosé,Italy,Prosecco,3.6,4026,16,0.23,Budget
1243,Venica & Venica Ronco del Cerò Sauvignon 2024,Italy,Collio,4.1,4013,38,0.11,Budget
1250,Straccali Chianti 2024,Italy,Chianti,3.5,3998,33,0.11,Budget
